id,name,category,sell_price,buy_price,stock,notes
d69ugo7,Twisted Spoon,Held Item,2999,2549.15,,
r5kzw8x,Spell Tag,Held Item,2999,2549.15,,
6kfktqx,Soft Sand,Held Item,2999,2549.15,,
sgg2qxs,Silver Powder,Held Item,2999,2549.15,,
p1j524j,Silk Scarf,Held Item,2999,2549.15,,
c8w08x8,Sharp Beak,Held Item,2999,2549.15,,
3uxh8uo,Poison Barb,Held Item,2999,2549.15,,
oe837fu,Never-Melt Ice,Held Item,2999,2549.15,,
sx49fq8,Mystic Water,Held Item,2999,2549.15,,
0d8vukr,Miracle Seed,Held Item,2999,2549.15,,
p7ro31h,Magnet,Held Item,2999,2549.15,,
4qze4bv,Hard Stone,Held Item,2999,2549.15,,
flm49bv,Dragon Fang,Held Item,2999,2549.15,,
08pp0o7,Charcoal Stick,Held Item,2999,2549.15,,
v0po211,Black Glasses,Held Item,2999,2549.15,,
zhvmu3t,Black Belt,Held Item,2999,2549.15,,
r97xfb6,Zoom Lens,Held Item,2999,2549.15,,
p4eaybe,Wise Glasses,Held Item,2999,2549.15,,
3jdw1fu,Wide Lens,Held Item,2999,2549.15,,
a8bhfhf,White Herb,Held Item,2999,2549.15,,
qhbg33w,Weakness Policy,Held Item,2999,2549.15,,
ivvmsyw,Utility Umbrella,Held Item,2999,2549.15,,
pur59i1,Toxic Orb,Held Item,2999,2549.15,,
cx3yv6o,Throat Spray,Held Item,2999,2549.15,,
98tpfny,Terrain Extender,Held Item,2999,2549.15,,
67m5xy2,Soothe Bell,Held Item,2999,2549.15,,
0rf0pyv,Sticky Barb,Held Item,2999,2549.15,,
35mpv9s,Smooth Rock,Held Item,2999,2549.15,,
45ski24,Smoke Ball,Held Item,2999,2549.15,,
jp01s2c,Shell Bell,Held Item,2999,2549.15,,
w4jjkxx,Shed Shell,Held Item,2999,2549.15,,
ner7gm0,Scope Lens,Held Item,2999,2549.15,,
nan4vy2,Safety Gloggles,Held Item,2999,2549.15,,
bjfj8ax,Room Service,Held Item,2999,2549.15,,
kthqjxa,Rocky Helmet,Held Item,2999,2549.15,,
wsqe6qm,Ring Target,Held Item,2999,2549.15,,
haipxhz,Red Card,Held Item,2999,2549.15,,
te8r5cu,Quick Powder,Held Item,2999,2549.15,,
r24x0je,Quick Claw,Held Item,2999,2549.15,,
yi30g64,Punching Glove,Held Item,2999,2549.15,,
yjh0hr0,Protective Pads,Held Item,2999,2549.15,,
l45lxhx,Power Herb,Held Item,2999,2549.15,,
82723a2,Muscle Band,Held Item,2999,2549.15,,
gbidm0c,Mirror Herb,Held Item,2999,2549.15,,
j1fw1ak,Metronome,Held Item,2999,2549.15,,
hjqgsrc,Metal Powerder,Held Item,2999,2549.15,,
irfw6ym,Mental Herb,Held Item,2999,2549.15,,
27lug3v,Medicinal Leak,Held Item,2999,2549.15,,
oif11yc,Lucky Egg,Held Item,2999,2549.15,,
duyu0vr,Loaded Dice,Held Item,2999,2549.15,,
5ogmwr1,Light Clay,Held Item,2999,2549.15,,
cgxhgq6,Light Ball,Held Item,2999,2549.15,,
cc96hl7,Life Orb,Held Item,2999,2549.15,,
vhu4meq,Leftovers,Held Item,2999,2549.15,,
5gn3ypq,Iron Ball,Held Item,2999,2549.15,,
e5qb4k9,Icy Rock,Held Item,2999,2549.15,,
3t8arhn,Heavy-Duty Boots,Held Item,2999,2549.15,,
1oswrtd,Heat Rock,Held Item,2999,2549.15,,
h5qb3yh,Focus Slash,Held Item,2999,2549.15,,
15otsrg,Focus Band,Held Item,2999,2549.15,,
8mphw7l,Float Stone,Held Item,2999,2549.15,,
